ENSEMBLE,COMPOSER,WORK
Pittsburgh,"Beethoven, Ludwig van",Piano Concerto No. 2
Pittsburgh,"Beethoven, Ludwig van",Piano Concerto No. 3
Pittsburgh,"Beethoven, Ludwig van",Piano Concerto No. 4
Pittsburgh,"Beethoven, Ludwig van",Piano Concerto No. 5
Pittsburgh,"Beethoven, Ludwig van",Symphony No. 1
Pittsburgh,"Beethoven, Ludwig van",Symphony No. 4
Pittsburgh,"Beethoven, Ludwig van",Symphony No. 5
Pittsburgh,"Beethoven, Ludwig van",Violin Concerto
Plano,"Beethoven, Ludwig van",Symphony No. 9
Portland,"Beethoven, Ludwig van",Symphony No. 3
Princeton,"Beethoven, Ludwig van",Symphony No. 7
Quad City,"Beethoven, Ludwig van",Lenore Overture No. 3
Quad City,"Beethoven, Ludwig van",Symphony No. 9
Quad City,"Beethoven, Ludwig van",Violin Concerto
Reading,"Beethoven, Ludwig van",Piano Concerto No. 4
Richmond,"Beethoven, Ludwig van",Symphony No. 5
Richmond,"Beethoven, Ludwig van",Symphony No. 7
Richmond,"Beethoven, Ludwig van",Symphony No. 9
River Oaks,"Beethoven, Ludwig van",Creatures of Prometheus—Overture
Rochester,"Beethoven, Ludwig van",Symphony No. 1
Rochester,"Beethoven, Ludwig van",Symphony No. 2
Rochester,"Beethoven, Ludwig van",Symphony No. 3
Rochester,"Beethoven, Ludwig van",Symphony No. 4
Rochester,"Beethoven, Ludwig van",Symphony No. 5
Rochester,"Beethoven, Ludwig van",Symphony No. 6
Rochester,"Beethoven, Ludwig van",Symphony No. 7
Rochester,"Beethoven, Ludwig van",Symphony No. 8
Rochester,"Beethoven, Ludwig van",Symphony No. 9
Rochester,"Beethoven, Ludwig van",Violin Concerto
Rockford,"Beethoven, Ludwig van",Choral Fantasy
Rockford,"Beethoven, Ludwig van",Fidelio Overture
Rockford,"Beethoven, Ludwig van",Symphony No. 9
San Antonio,"Beethoven, Ludwig van",Piano Concerto No. 3
San Antonio,"Beethoven, Ludwig van",Symphony No. 5
San Antonio,"Beethoven, Ludwig van",Symphony No. 7
San Diego,"Beethoven, Ludwig van",Piano Concerto No. 3
San Diego,"Beethoven, Ludwig van",Piano Concerto No. 5
San Diego,"Beethoven, Ludwig van",Symphony No. 1
San Diego,"Beethoven, Ludwig van",Symphony No. 2
San Diego,"Beethoven, Ludwig van",Symphony No. 6
San Diego,"Beethoven, Ludwig van",Symphony No. 7
San Diego,"Beethoven, Ludwig van",Symphony No. 8
San Diego,"Beethoven, Ludwig van",Triple Concerto
San Francisco,"Beethoven, Ludwig van",Creatures of Prometheus—Selections
San Francisco,"Beethoven, Ludwig van",Missa Solemnis
San Francisco,"Beethoven, Ludwig van",Piano Concerto No. 1
San Francisco,"Beethoven, Ludwig van",Piano Concerto No. 2
San Francisco,"Beethoven, Ludwig van",Piano Concerto No. 3
San Francisco,"Beethoven, Ludwig van",Piano Concerto No. 4
San Francisco,"Beethoven, Ludwig van",Piano Concerto No. 5
San Francisco,"Beethoven, Ludwig van",Symphony No. 1
San Francisco,"Beethoven, Ludwig van",Symphony No. 5
San Francisco,"Beethoven, Ludwig van",Thirty three Variations on a Waltz by Diabelli Op. 120
Santa Barbara,"Beethoven, Ludwig van",Fidelio (excerpts)
Santa Barbara,"Beethoven, Ludwig van",Lenore Overture No. 3
Santa Barbara,"Beethoven, Ludwig van",Symphony No. 9
Santa Rosa,"Beethoven, Ludwig van",Symphony No. 9
Sarasota,"Beethoven, Ludwig van",Lenore Overture No. 3
Sarasota,"Beethoven, Ludwig van",Violin Concerto
Seattle,"Beethoven, Ludwig van",Coriolan Overture
Seattle,"Beethoven, Ludwig van",Missa Solemnis
Seattle,"Beethoven, Ludwig van",Piano Concerto No. 4
Silicon Valley,"Beethoven, Ludwig van",Lenore Overture No. 3
Silicon Valley,"Beethoven, Ludwig van",Piano Concerto No. 4
Silicon Valley,"Beethoven, Ludwig van",Piano Concerto No. 5
Silicon Valley,"Beethoven, Ludwig van",Symphony No. 5
Silicon Valley,"Beethoven, Ludwig van",Symphony No. 7
South Bend,"Beethoven, Ludwig van",Symphony No. 5
South Bend,"Beethoven, Ludwig van",Symphony No. 9
South Dakota,"Beethoven, Ludwig van",Piano Concerto No. 5
South Dakota,"Beethoven, Ludwig van",Symphony No. 9
Spokane,"Beethoven, Ludwig van",An die ferne Geliebte
Spokane,"Beethoven, Ludwig van",Calm Sea and a Prosperous Voyage
Spokane,"Beethoven, Ludwig van",Elegischer Gesang
Spokane,"Beethoven, Ludwig van",Symphony No. 4
Spokane,"Beethoven, Ludwig van",Symphony No. 9
St. Louis,"Beethoven, Ludwig van",Symphony No. 3
St. Louis,"Beethoven, Ludwig van",Symphony No. 5
St. Paul Chamber,"Beethoven, Ludwig van",Symphony No. 3
St. Paul Chamber,"Beethoven, Ludwig van",Symphony No. 7
Stamford,"Beethoven, Ludwig van",Heiliger Dankgesang
Stamford,"Beethoven, Ludwig van",Symphony No. 6
Tacoma,"Beethoven, Ludwig van",Symphony No. 7
Toledo,"Beethoven, Ludwig van",Egmont Overture
Toledo,"Beethoven, Ludwig van",Symphony No. 1
Toledo,"Beethoven, Ludwig van",Symphony No. 2
Toledo,"Beethoven, Ludwig van",Symphony No. 3
Toledo,"Beethoven, Ludwig van",Symphony No. 4
Toledo,"Beethoven, Ludwig van",Symphony No. 5
Toledo,"Beethoven, Ludwig van",Symphony No. 6
Toledo,"Beethoven, Ludwig van",Symphony No. 7
Toledo,"Beethoven, Ludwig van",Symphony No. 8
Toledo,"Beethoven, Ludwig van",Symphony No. 9
Tucson,"Beethoven, Ludwig van",Symphony No. 9
Tulsa,"Beethoven, Ludwig van",Coriolan Overture
Tulsa,"Beethoven, Ludwig van",Egmont Overture
Tulsa,"Beethoven, Ludwig van",Piano Concerto No. 3
Tulsa,"Beethoven, Ludwig van",Piano Concerto No. 5
Tulsa,"Beethoven, Ludwig van",Symphony No. 1
Tulsa,"Beethoven, Ludwig van",Symphony No. 7
Utah,"Beethoven, Ludwig van",Coriolan Overture
Utah,"Beethoven, Ludwig van",Fidelio Overture
Utah,"Beethoven, Ludwig van",Piano Concerto No. 1
Utah,"Beethoven, Ludwig van",Piano Concerto No. 2
Utah,"Beethoven, Ludwig van",Piano Concerto No. 3
Utah,"Beethoven, Ludwig van",Piano Concerto No. 4
Utah,"Beethoven, Ludwig van",Piano Concerto No. 5
Utah,"Beethoven, Ludwig van",Symphony No. 9
Virginia,"Beethoven, Ludwig van",Creatures of Prometheus—Overture
Virginia,"Beethoven, Ludwig van",Symphony No. 7
Virginia,"Beethoven, Ludwig van",Symphony No. 9
West Virginia,"Beethoven, Ludwig van",Egmont Overture
West Virginia,"Beethoven, Ludwig van",Piano Concerto No. 5
West Virginia,"Beethoven, Ludwig van",Symphony No. 5
Wichita,"Beethoven, Ludwig van",Choral Fantasy
Wichita,"Beethoven, Ludwig van",Symphony No. 4
Winston-Salem,"Beethoven, Ludwig van",Piano Concerto No. 5
Wisconsin Chamber,"Beethoven, Ludwig van",Piano Concerto No. 1
Wisconsin Chamber,"Beethoven, Ludwig van",Piano Concerto No. 5
Long Beach,Beethoven/Cooper,Symphony No. 10
Charleston,Beethoven/Mahler,String Quartet op. 95
Minnesota,Beethoven/Schulhoff,Rondo a Capriccio op. 129
Chicago,"Bellini, Vincenzo",Overture to Norma
San Francisco,"Ben-Haim, Paul",Tehillim from Symphony No. 1
Kansas City,"Bendix-Balgley, Noah",Fidl-Fantazye: A Klezmer Concerto
Philadelphia,"Benzecry, Esteban",New Work (world premiere)
Columbus,"Berg, Alban",Violin Concerto
New York,"Berg, Alban",Violin Concerto
Oregon,"Berg, Alban",Violin Concerto
Pittsburgh,"Berg, Alban",Violin Concerto
San Francisco,"Berio, Luciano",Folk Songs
Tucson,"Berio, Luciano",Rendering
River Oaks,"Berkeley, Lennox",Divertimento
Cape,"Berko, Alex",Mayflower
Atlanta,"Berlioz, Hector",Symphonie Fantastique
Baltimore,"Berlioz, Hector",Symphonie Fantastique
Buffalo,"Berlioz, Hector",Symphonie Fantastique
Chicago,"Berlioz, Hector",Béatrice et Bénédict - Overture
Chicago,"Berlioz, Hector",Roman Carnival Overture
Chicago,"Berlioz, Hector",Symphonie Fantastique
Cincinnati,"Berlioz, Hector",Le Corsaire
Cincinnati,"Berlioz, Hector",Symphonie Fantastique
Colorado,"Berlioz, Hector",Béatrice et Bénédict - Overture
Grant Park,"Berlioz, Hector",Symphonie Fantastique
Greensboro,"Berlioz, Hector",Symphonie Fantastique
Kansas City,"Berlioz, Hector",Romeo & Juliet
Knoxville,"Berlioz, Hector",Symphonie Fantastique
Los Angeles,"Berlioz, Hector",Benvenuto Cellini Overture
Los Angeles,"Berlioz, Hector",Romeo & Juliet
Louisville,"Berlioz, Hector",Symphonie Fantastique
Minnesota,"Berlioz, Hector",Symphonie Fantastique
Minnesota,"Berlioz, Hector","Witches' Sabbath, from Symphonie Fantastique"
National,"Berlioz, Hector",Les nuits d'été
New York,"Berlioz, Hector",Roman Carnival Overture
Pacific,"Berlioz, Hector",Roman Carnival Overture
Pittsburgh,"Berlioz, Hector",Béatrice et Bénédict - Overture
Pittsburgh,"Berlioz, Hector",Symphonie Fantastique
Princeton,"Berlioz, Hector",Symphonie Fantastique
Reading,"Berlioz, Hector",Le Corsaire
Reading,"Berlioz, Hector",Symphonie Fantastique
San Francisco,"Berlioz, Hector",Béatrice et Bénédict - Overture
San Francisco,"Berlioz, Hector",Dance of the Sylphs
San Francisco,"Berlioz, Hector",Hungarian March
San Francisco,"Berlioz, Hector",Minuet of the Will Of The Wisps
San Francisco,"Berlioz, Hector",Music from La damnation de Faust Op. 24
San Francisco,"Berlioz, Hector",Symphonie Fantastique
Santa Rosa,"Berlioz, Hector",Symphonie Fantastique
Sarasota,"Berlioz, Hector",Symphonie Fantastique
Seattle,"Berlioz, Hector",Symphonie Fantastique
St. Louis,"Berlioz, Hector","Death of Cleopatra, The"
Tulsa,"Berlioz, Hector",Benvenuto Cellini Overture
Utah,"Berlioz, Hector",Harold in Italy
Utah,"Berlioz, Hector",King Lear Overture
Virginia,"Berlioz, Hector",Roman Carnival Overture
Atlanta,"Bernstein, Leonard",Chichester Psalms
Atlanta,"Bernstein, Leonard",Symphonic Dances from West Side Story
Baltimore,"Bernstein, Leonard","Suite from ""On the Waterfront"""
Chicago,"Bernstein, Leonard","Prelude, Fugue, and Riffs"
Chicago,"Bernstein, Leonard","Three Dance Episodes from ""On the Town"""
Detroit,"Bernstein, Leonard",Facsimile: Choreographic Essay for Orchestra
Elgin,"Bernstein, Leonard",Symphonic Dances from West Side Story
Fort Worth,"Bernstein, Leonard",Suite from Candide
Hartford,"Bernstein, Leonard","Suite from ""On the Waterfront"""
Hartford,"Bernstein, Leonard",Symphonic Dances from West Side Story
Indianapolis,"Bernstein, Leonard",Symphonic Dances from West Side Story
Knoxville,"Bernstein, Leonard",Symphonic Dances from West Side Story
Knoxville,"Bernstein, Leonard","Three Dance Episodes from ""On the Town"""
Los Angeles,"Bernstein, Leonard",Divertimento
Los Angeles,"Bernstein, Leonard",Symphonic Dances from West Side Story
National,"Bernstein, Leonard",A Quiet Place (excerpts)
National,"Bernstein, Leonard",Symphonic Dances from West Side Story
New Jersey,"Bernstein, Leonard",Symphonic Dances from West Side Story
New York,"Bernstein, Leonard","Suite from ""On the Waterfront"""
New York,"Bernstein, Leonard","The Age of Anxiety, Symphony No. 2"
Orlando,"Bernstein, Leonard",Candide Overture
Silicon Valley,"Bernstein, Leonard","Three Dance Episodes from ""On the Town"""
Tulsa,"Bernstein, Leonard",Symphonic Dances from West Side Story
West Virginia,"Bernstein, Leonard",Serenade from Plato's Symposium
Oklahoma City,"Biber, Heinrich Ignaz Franz",Sonata a 7
Cleveland,"Bishop, Henry R.",Home Sweet Home
Hartford,"Bizet, Georges",Selections from Carmen
National,"Bizet, Georges",Selections from Carmen
St. Louis,"Bizet, Georges",Selections from Carmen
Virginia,"Bizet, Georges",Votre toast from Carmen
Columbus,"Bizet, Georges (arr. Sarasate, Pablo de)",Carmen Fantasy
Philadelphia,"Bizet, Georges (arr. Sarasate, Pablo de)",Carmen Fantasy
Cincinnati,"Bjarnason, Daniel",Violin Concerto
Los Angeles,"Bjarnason, Daniel",Piano Concerto
Wisconsin Chamber,"Blake, Christopher",Night Journey to Parawenga
Cleveland,"Bloch, Ernest",Winter Spring: Two Poems for Orchestra
Harrisburg,"Bloch, Ernest",Schelomo
New Jersey,"Bloch, Ernest",Baal Shem for Violin and Orchestra
Orlando,"Bloch, Ernest","Nigun, from Baal Shem"
Pasadena,"Boccherini, Luigi",Musica notturna delle strade di Madrid
Richmond,"Boccherini, Luigi",Symphony No. 6
St. Paul Chamber,"Boccherini, Luigi",Cello Concerto
Houston,"Bonis, Mélanie",The Song of Cleopatra from Three
Atlanta,"Borisova-Ollas, Victoria",A Portrait of a Lady by Swan Lake
Boston,"Borisova-Ollas, Victoria",Angelus
Allentown,"Borodin, Alexander",Polovtsian Dances from Prince Igor
Arkansas,"Borodin, Alexander",Unknown Piece
Atlanta,"Borodin, Alexander",Polovtsian Dances from Prince Igor
Atlanta,"Borodin, Alexander",Symphony No. 2
Memphis,"Borodin, Alexander",Polovtsian Dances from Prince Igor
National,"Borodin, Alexander",Polovtsian Dances from Prince Igor
National,"Borodin, Alexander",Symphony No. 2
South Bend,"Borodin, Alexander",In the Steppes of Central Asia
Spokane,"Borodin, Alexander",Polovtsian Dances from Prince Igor
Tucson,"Borodin, Alexander",Polovtsian Dances from Prince Igor
Alabama,"Botti, Susan",Glaze
Buffalo,"Boulanger, Lili",Of a Sad Evening
Buffalo,"Boulanger, Lili",Of a Spring Morning
Charleston,"Boulanger, Lili",Of a Spring Morning
Indianapolis,"Boulanger, Lili",D'un soir triste
Milwaukee,"Boulanger, Lili",D'un matin de printemps
Minnesota,"Boulanger, Lili",D'un matin de printemps
Nashville,"Boulanger, Lili",D'un matin de printemps
National,"Boulanger, Lili",D'un matin de printemps
National,"Boulanger, Lili",D'un soir triste
Pacific,"Boulanger, Lili",D'un matin de printemps
South Bend,"Boulanger, Lili",Of a Spring Morning
Spokane,"Boulanger, Lili",Of a Spring Morning
National,"Boyer, Peter",Balance of Power (world premiere)
York,"Boyer, Peter",American Rhapsody
Alabama,"Brahms, Johannes",A German Requiem
Alabama,"Brahms, Johannes",Symphony No. 4
Allentown,"Brahms, Johannes",Concerto for Piano No. 1
Amarillo,"Brahms, Johannes",Symphony No. 1
Amarillo,"Brahms, Johannes",Violin Concerto
Ann Arbor,"Brahms, Johannes",Symphony No. 1
Arkansas,"Brahms, Johannes",Unkown Piece
Atlanta,"Brahms, Johannes",Symphony No. 2
Atlanta,"Brahms, Johannes",Violin Concerto
Augusta,"Brahms, Johannes",Tragic Overture
Baltimore,"Brahms, Johannes",Double Concerto
Baltimore,"Brahms, Johannes",Symphony No. 1
Baltimore,"Brahms, Johannes",Violin Concerto
Boston,"Brahms, Johannes",Symphony No. 1
Boston,"Brahms, Johannes",Violin Concerto
Buffalo,"Brahms, Johannes",Symphony No. 3
Buffalo,"Brahms, Johannes",Violin Concerto
Canton,"Brahms, Johannes",Liebeslieder Waltzes op .52
Cape,"Brahms, Johannes",Hungarian Dances (selections)
Cape,"Brahms, Johannes",Symphony No. 2
Charleston,"Brahms, Johannes",Symphony No. 4
Charlotte,"Brahms, Johannes",Tragic Overture
Chattanooga,"Brahms, Johannes",Symphony No. 2
Chicago,"Brahms, Johannes",Alto Rhapsody
Chicago,"Brahms, Johannes",Concerto for Piano No. 1
Cincinnati,"Brahms, Johannes",Symphony No. 2
Cleveland,"Brahms, Johannes",Symphony No. 2
Colorado,"Brahms, Johannes",A German Requiem
Colorado,"Brahms, Johannes",Symphony No. 1
Columbus,"Brahms, Johannes",Symphony No. 2
Dallas,"Brahms, Johannes",Concerto for Piano No. 1
Dallas,"Brahms, Johannes",Concerto for Piano No. 2
Dallas,"Brahms, Johannes",Symphony No. 3
Detroit,"Brahms, Johannes",Concerto for Piano No. 2
Detroit,"Brahms, Johannes",Symphony No. 3
Detroit,"Brahms, Johannes",Violin Concerto
Elgin,"Brahms, Johannes",Violin Concerto
Erie,"Brahms, Johannes",Symphony No. 3
Evansville,"Brahms, Johannes",Symphony No. 4
Fort Worth,"Brahms, Johannes",Tragic Overture
Grand Rapids,"Brahms, Johannes",Concerto for Piano No. 2
Grant Park,"Brahms, Johannes",Symphony No. 3
Greensboro,"Brahms, Johannes",Academic Festival Overture
Indianapolis,"Brahms, Johannes",Symphony No. 2
Kansas City,"Brahms, Johannes",Symphony No. 1
Kansas City,"Brahms, Johannes",Violin Concerto
Las Colinas,"Brahms, Johannes",Violin Concerto
Los Angeles,"Brahms, Johannes",Concerto for Piano No. 1
Los Angeles,"Brahms, Johannes",Tragic Overture
Los Angeles Chamber,"Brahms, Johannes",Symphony No. 2
Los Angeles Chamber,"Brahms, Johannes",Violin Concerto
Louisiana,"Brahms, Johannes",Symphony No. 3
Memphis,"Brahms, Johannes",Symphony No. 2
Milwaukee,"Brahms, Johannes",Concerto for Piano No. 1
Milwaukee,"Brahms, Johannes",Serenade No. 2
Milwaukee,"Brahms, Johannes",Variations on a Theme by Haydn
Minnesota,"Brahms, Johannes",Double Concerto
Minnesota,"Brahms, Johannes",Symphony No. 3
Minnesota,"Brahms, Johannes",Symphony No. 4
Minnesota,"Brahms, Johannes",Variations on a Theme by Haydn
Naples,"Brahms, Johannes",Concerto for Piano No. 1
Nashville,"Brahms, Johannes",Double Concerto
National,"Brahms, Johannes",Concerto for Piano No. 1
National,"Brahms, Johannes",Symphony No. 2
New Jersey,"Brahms, Johannes",Symphony No. 3
New York,"Brahms, Johannes",Serenade No. 1
New York,"Brahms, Johannes",Symphony No. 2
North Carolina,"Brahms, Johannes",Symphony No. 3
Pacific,"Brahms, Johannes",Symphony No. 2
Pasadena,"Brahms, Johannes",Violin Concerto
Philadelphia,"Brahms, Johannes",Concerto for Piano No. 2
Philadelphia,"Brahms, Johannes",Symphony No. 1
Philadelphia,"Brahms, Johannes",Tragic Overture
Portland,"Brahms, Johannes",Symphony No. 2
Princeton,"Brahms, Johannes",Symphony No. 2
Quad City,"Brahms, Johannes",Symphony No. 3
Reading,"Brahms, Johannes",Symphony No. 1
Richmond,"Brahms, Johannes",Symphony No. 1
Rochester,"Brahms, Johannes",Concerto for Piano No. 2
Rockford,"Brahms, Johannes",Academic Festival Overture
San Antonio,"Brahms, Johannes",Symphony No. 2
San Antonio,"Brahms, Johannes",Tragic Overture
San Diego,"Brahms, Johannes",A German Requiem
San Francisco,"Brahms, Johannes",Symphony No. 1
San Francisco,"Brahms, Johannes",Tragic Overture
Santa Rosa,"Brahms, Johannes",Academic Festival Overture
Seattle,"Brahms, Johannes",Hungarian Dances
Seattle,"Brahms, Johannes",Symphony No. 4
South Bend,"Brahms, Johannes",Symphony No. 2
Spokane,"Brahms, Johannes",Symphony No. 1
St. Louis,"Brahms, Johannes",Alto Rhapsody
St. Louis,"Brahms, Johannes",Nänie
St. Louis,"Brahms, Johannes",Schicksalslied (Song of Destiny)
St. Louis,"Brahms, Johannes",Symphony No. 1
St. Paul Chamber,"Brahms, Johannes",Serenade No. 1
Stamford,"Brahms, Johannes",Symphony No. 2
Tacoma,"Brahms, Johannes",Symphony No. 4
Toledo,"Brahms, Johannes",Tragic Overture
Tucson,"Brahms, Johannes",Symphony No. 3
Tulsa,"Brahms, Johannes",Symphony No. 4
Utah,"Brahms, Johannes",Symphony No. 1
Utah,"Brahms, Johannes",Symphony No. 2
Virginia,"Brahms, Johannes",Double Concerto
Virginia,"Brahms, Johannes",Symphony No. 3
West Virginia,"Brahms, Johannes",Symphony No. 1
Wichita,"Brahms, Johannes",Tragic Overture
Wisconsin Chamber,"Brahms, Johannes",Serenade No. 1
Alabama,"Brahms, Johannes (arr. Schoënberg, Arnold)",Piano Quartet in G Minor
Oregon,"Brahms, Johannes (arr. Schoënberg, Arnold)",Piano Quartet in G Minor
Seattle,"Bray, Charlotte",At The Speed of Stillness
Atlanta,"Britten, Benjamin",Violin Concerto
Austin,"Britten, Benjamin",Les illuminations
Boston,"Britten, Benjamin",Violin Concerto
Chicago,"Britten, Benjamin",Four Sea Interludes from Peter Grimes
Chicago,"Britten, Benjamin",Violin Concerto
Cleveland,"Britten, Benjamin",Violin Concerto
Columbus,"Britten, Benjamin",Four Sea Interludes from Peter Grimes
Dallas,"Britten, Benjamin",Piano Concerto
Grant Park,"Britten, Benjamin",Spring Symphony
Los Angeles,"Britten, Benjamin",Violin Concerto
Los Angeles Chamber,"Britten, Benjamin",Les illuminations
Pittsburgh,"Britten, Benjamin",Sinfonia da Requiem
San Diego,"Britten, Benjamin",Four Sea Interludes from Peter Grimes
San Francisco,"Britten, Benjamin",Violin Concerto
San Francisco,"Britten, Benjamin",War Requiem
Seattle,"Britten, Benjamin",Sinfonia da Requiem
St. Paul Chamber,"Britten, Benjamin",Variations on a Theme of Frank Bridge
Tucson,"Britten, Benjamin",Les illuminations
Winston-Salem,"Britten, Benjamin",Sinfonia da Requiem
Wichita,"Brown, Michael",Piano Concerto
Pacific,"Brubeck, Dave","Pas de Deux for Violin, Cello, and Orchestra"
Knoxville,"Bruce, David",Groanbox
Augusta,"Bruch, Max",Violin Concerto No. 1
Buffalo,"Bruch, Max",Violin Concerto No. 1
Canton,"Bruch, Max",Violin Concerto No. 1
